"id","flood_id","country","event_location","event_date","language_detected","url","domain","page_title","text_snippet","pipeline_prediction","flood_term_hits","impact_term_hits","location_term_hits","word_count","label","notes"
"1","6","United States of America","Kerr county (Texas)","2025-07-04","eng","https://kstp.com/ap-top-news/how-weather-conditions-set-the-stage-for-the-deadly-texas-flash-floods/","kstp.com","How weather conditions set the stage for the deadly Texas flash floods - KSTP.com 5 Eyewitness News","How weather conditions set the stage for the deadly Texas flash floods WASHINGTON (AP) — Incredible amounts of moisture in the air fueled a storm that moved slowly and dumped rain over central Texas, creating conditions for fatal flash floods in the early morning hours when it was easy to catch people by surprise, meteorologists said. More than 12 inches (30 centimeters) of rain fell in the Texas Hill Country over a span of several hours early Friday, causing water levels to quickly rise, according to the weather forecasting company AccuWeather. The area is naturally prone to flash flooding, b…","pipeline_yes","7","2.0","2","760","1",""
"2","3","Colombia","Bogotá area; North Santander department; La Calera municipality (Cundinamarca Department)","2022-11-14","spa","https://www.elespectador.com/ambiente/alerta-por-mercurio-en-tres-rios-colombianos-article-470323/","elespectador.com","Alerta por mercurio en tres ríos colombianos | EL ESPECTADOR","El río Caquetá está altamente contaminado con mercurio y el mismo diagnóstico aplicaría para los ríos Inírida y Amazonas, según una alerta de la Fiscalía General de la Nación. Por primera vez una autoridad judicial hace una advertencia sobre esta grave problemática, que ha sido explorada principalmente por académicos y autoridades ambientales regionales. Gloria Elsa Arias, jefa de la Unidad de Delitos contra el Medio Ambiente de la Fiscalía, señaló en RCN Radio que se está realizando una detallada de investigación sobre el alcance del mercurio en las fuentes hídricas del país. Este metal altam…","pipeline_boundary","2","","1","633","0",""
"3","3","Colombia","Bogotá area; North Santander department; La Calera municipality (Cundinamarca Department)","2022-11-14","spa","https://www.lasillavacia.com/la-silla-vacia/temas-interes/opini%C3%B3n/antioquia","lasillavacia.com","Opinión","La capital de la eterna primavera escoge el próximo 27 de octubre entre un delfín, un conferencista de Ted Talks y el heredero de Fico para ser el próximo alcalde que resuelva la problemática de la contaminación del aire. La avalancha de Puerto Salgar: otro desastre natural afecta a Colombia excepto que este no es un desastre natural, este es un desastre político y social. Así se llama la propuesta de plan de desarrollo que está estructurando el equipo del gobernador Sergio Fajardo. Contrario a la tradición de estos ejercicios, donde se limitan a repetir formulas de cumplimiento a los mandatos…","pipeline_boundary","2","","1","105","0",""
"4","6","United States of America","Kerr county (Texas)","2025-07-04","eng","https://www.cbsnews.com/?ftag=CNM-16-10abi1j","cbsnews.com","CBS News | Breaking news, top stories & today's latest headlines","Texas flood rescue teams continue search for missing as death toll climbs Nearly a week after deadly floods struck Central Texas, search and rescue teams are continuing to probe debris for those still missing. Nearly a week after deadly floods struck Central Texas, search and rescue teams are continuing to probe debris for those still missing. A top official defended the agency's decision not to fire anyone in connection with the July 13 assassination attempt. One of the highest tariffs threatened by President Trump so far is against Brazil, with the president citing a criminal prosecution aga…","pipeline_yes","5","8.0","8","3357","1",""
"5","3","Colombia","Bogotá area; North Santander department; La Calera municipality (Cundinamarca Department)","2022-11-14","spa","https://colombiacheck.com/chequeos/las-principales-promesas-de-penalosa-se-embolataron-en-su-alcaldia","colombiacheck.com","Las principales promesas de Peñalosa se embolataron en su alcaldía | ColombiaCheck","Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Chequeo Múltiple Enrique Peñalosa dejó firmado el contrato para la construcción del metro pero la obra no alcanzó a iniciarse durante su mandato y además el proyecto es sustancialmente más corto que el que prometió en campaña. Durante la campaña Peñalosa no se comprometió con una fecha en la que el metro estaría listo, por lo que no es posible chequear si cumplió o no. Según decía su plan de gobierno: “Estamos comprometidos con la construcción de la Primera Lí…","pipeline_yes","5","1.0","1","3624","0"," [auto-relabeled: no flood keywords]"
"6","5","Trinidad and Tobago","Bamboo #2, Valsayn South, Real Spring Gardens, Kelly Village, Madras Road and El Carmen, St. Helena","2022-11-26","eng","https://odpm.gov.tt/node/1495","odpm.gov.tt","ARTICLE – THE ODPM’s RESPONSE TO TROPICAL WAVE INVEST 91L | Office of Disaster Preparedness and Management - ODPM","You are here ARTICLE – THE ODPM’s RESPONSE TO TROPICAL WAVE INVEST 91L THE ODPM’s RESPONSE TO TROPICAL WAVE INVEST 91L Introduction Annually, as the hurricane season comes around and the dry season changes to the wet, the Office of Disaster Preparedness and Management (ODPM) has come to expect the re-emergence of one or two self-appointed ‘disaster experts’, making baseless criticisms having done no research. While the ODPM does not mind being criticised, it expects at the very least, these critics would have conducted their research and not choose to publish as fact, inaccurate and unsubstant…","pipeline_yes","7","7.0","3","2311","1",""
"7","6","United States of America","Kerr county (Texas)","2025-07-04","eng","https://grist.org/food/in-cincinnati-urban-farmers-stand-their-ground/","grist.org","An urban farming oasis is saved from the bulldozer blade | Grist","There is one thing no gardener wants to hear: “Don’t plant this spring.” But that’s the word Angela Stanbery-Ebner received in February while plotting out the year’s crops at her garden in urban Cincinnati. No tomatoes this year, no chard, no selling at the farmers market, no community-supported agriculture operation run by neighborhood youth for low-income families. Stanbery-Ebner’s garden, known as the Eco Garden, isn’t your standard backyard fare. It’s an agricultural oasis in a Cincinnati neighborhood better known for its crime than its heirloom carrots. Unfortunately for the Eco Garden, i…","pipeline_boundary","2","","3","809","0",""
"8","6","United States of America","Kerr county (Texas)","2025-07-04","eng","https://abcnews.go.com/2020/video/trailer-2020-prison-interview-grant-hayes-airs-oct-114621563","abcnews.go.com","Video Trailer: 20/20 ‘Can I Prey First?’ airs Oct. 11th on ABC - ABC News","Trailer: 20/20 ‘Can I Prey First?’ airs Oct. 11th on ABC A love triangle that ended with murder. The heart-stopping, all-new “20/20” premieres Friday, Oct. 11th at 9/8c on ABC Network. Stream on Hulu. October 8, 2024 Additional Live Streams Top Stories Top Stories Millions under flood watches as severe storms and flash floods target Midwest 3 hours agoNew details on Air India flight crash 2 hours agoJudge halts Trump immigration efforts 4 hours agoNavy SEALs help with search and recovery efforts after Texas floods Jul 12, 2025Mothers come together to ease pain after Texas floods 4 hours agoAni…","pipeline_boundary","6","","5","828","0",""
"9","6","United States of America","Kerr county (Texas)","2025-07-04","eng","https://abcnews.go.com/2020/video/decades-silence-btk-killer-returns-taunting-local-media-60792534","abcnews.go.com","Video After decades of silence, BTK killer returns, taunting local media and police: Part 5 - ABC News","After decades of silence, BTK killer returns, taunting local media and police: Part 5 After an article was published on the 30-year anniversary of the start of the BTK killings, Dennis Rader sent a letter to the Wichita Eagle under the name Bill Thomas Killman. February 2, 2019 Additional Live Streams Additional Live Streams - Live ABC News Live - Live Crowds gather for pro-immigration demonstration amid ICE operations in Caramillio, CA - Live Arkansas legislature hearing on Grant Hardin prison escape - Live Outside court as judge to rule on Kilmar Abrego Garcia’s possible transfer from Tennes…","pipeline_boundary","4","","5","867","0",""
"10","6","United States of America","Kerr county (Texas)","2025-07-04","eng","https://kstp.com/ap-top-news/ap-top-news-us-headlines/texas-floods-leave-at-least-51-dead-27-girls-missing-as-rescuers-search-devastated-landscape/","kstp.com","Texas floods leave at least 51 dead, 27 girls missing as rescuers search devastated landscape - KSTP.com 5 Eyewitness News","Texas floods leave at least 51 dead, 27 girls missing as rescuers search devastated landscape KERRVILLE, Texas (AP) — Rescuers scoured a devastated central Texas landscape of mangled trees, overturned cars and muck-filled debris Saturday in an increasingly bleak mission to locate survivors, including 27 girls who have not been seen since their camp was slammed with a wall of water in a historic flash flood. The flooding in Kerr County killed at least 43 people, including 15 children, and at least eight people died in nearby counties. Authorities still have not said how many people were missing…","pipeline_yes","7","9.0","7","1168","1",""
