id,flood_id,country,event_location,event_dates,language_detected,url,page_title,text_snippet,pipeline_prediction,flood_term_hits,impact_term_hits,location_term_hits,word_count,label,notes
1,229,United States of America,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",2015-12-15 → 2016-01-06,eng,http://www.pbs.org/newshour/bb/nation-jan-june14-newswrap_01-03/,News Wrap: Arctic air lingers in Northeast as winter storm wraps up | PBS NewsHour,"News Wrap: Arctic air lingers in Northeast as winter storm wraps up [Sorry, the video for this story has expired, but you can still read the transcript below. ] JUDY WOODRUFF: That blustery winter storm dropped a foot of snow on the Midwest before setting its sights on the Northeast, where today it closed schools and snarled commutes on the ground and in the air. At least 13 deaths were blamed on the storm, many from car accidents. Hari Sreenivasan has our report. HARI SREENIVASAN: Snow plows across the Northeast started working early and often, in an effort to erase the first big storm of the…",pipeline_no,2,7,1,1130,0,
2,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.chiapasparalelo.com/noticias/chiapas/2017/05/el-acceeso-al-agua-en-chiapas-peor-que-en-paises-africanos/,"El acceso al agua en Chiapas, peor que en países africanos | Chiapasparalelo","El acceso al agua en Chiapas, peor que en países africanos Activistas y organismos no gubernamentales dieron a conocer hoy que denunciaron ante el Relator de las Naciones Unidas para el Derecho al Agua y el Saneamiento, Léo Heller, al menos 19 casos emblemáticos de Chiapas donde la violación a este derecho es una situacióngrave, “peor de la que había visto en varios países africanos”. El pasado día 12 de Mayo, el Relator Especial sobre el derecho humano al agua y al saneamiento, de la Organización de Naciones Unidas, Léo Heller, dio a conocer sus observaciones preliminares sobre la visita ofic…",pipeline_yes,2,4,2,1396,0,
3,253,Costa Rica,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",2015-06-27 → 2015-07-09,spa,http://www.gaceta.go.cr/pub/2009/09/08/COMP_08_09_2009.html,LA GACETA Nº 175 DEL 08 DE SETIEMBRE DEL 2009,"LA GACETA Nº 175 DEL 08 DE SETIEMBRE DEL 2009 EL PRESIDENTE DE LA REPÚBLICA Y LA MINISTRA DE SALUD En uso de las facultades que les confieren los artículos 140 incisos 3) y 18) y 146 de la Constitución Política; artículo 28 párrafo segundo de la Ley N° 6227 del 2 de mayo de 1978 “Ley General de la Administración Pública”, artículos 1, 2, 3 y 9 de la Ley N° 5395 de 30 de octubre de 1973 “Ley General de Salud”; artículo 2 inciso c) de la Ley N° 5412 de 8 de noviembre de 1973 “Ley Orgánica del Ministerio de Salud”. Considerando: 1º—Que es función del Estado a través de sus instituciones velar por…",pipeline_yes,12,10,7,44371,0,
4,228,Mexico,"Chiapas, Tabasco, Veracruz",2020-11-09 → 2020-11-10,spa,https://www.chiapasparalelo.com/noticias/chiapas/2018/11/mas-500-habitantes-de-el-bosque-son-desplazados-hay-dos-muertos/,Más 500 habitantes de “El Bosque” son desplazados; hay dos muertos | Chiapasparalelo,"Más 500 habitantes de “El Bosque” son desplazados; hay dos muertos Cientos de hombres, mujeres, niños y niñas se vieron obligados a dejar sus viviendas en la comunidad de Chavajeval, para buscar refugio en las montañas, en comunidades vecinas y en la cabecera municipal de El Bosque, luego de un conflicto interno en la comunidad que ha dejado ya dos muertos en los últimos días. El padre Marcelo Pérez Pérez, párroco de la iglesia de Simojovel, confirmó que a petición de un grupo de indígenas acudió el viernes a la comunidad de Chavajeval, donde encontró sólo a unas 50 personas, más de 500 person…",pipeline_yes,2,2,1,440,0,
5,248,United States of America,"East and West Canton (Van Zandt county) (Texas); Kampville (St Charles) (Missouri); Logan, Marion, Miles Station (Macoupin), Sumner (Lawrence), Pawnee (Sangamon) (Illinois); Natural Dam (Crawford), Mississipi, Clay (Arkansas); Oak ridge (Morehouse) (Louisiana) ; Labette (Kansas); Cameron (Le Flore) (Oklahoma); Goshen (Oldham) (Kentucky) ; Ohio; Pennsylvania; West Virginia ; Mississipi ; Alabama ; Tennesse ; Indiana",2017-04-28 → 2017-05-01,eng,http://www.latimes.com/bal-100-reasons-to-love-baltimore-list-story.html,Printable list: 100 things we love about Baltimore - LA Times,"A moody tavern. An extraordinary cocktail. The easy lapping of bay water against the banks of the Inner Harbor. Duckpin lanes. Old Bay. Art in an otherwise empty storefront. For all of these things, and for so many more, people love Baltimore. People feel how they feel about this place for their own reasons. It's personal and not necessarily explainable. Something between them and the city. But in the spirit of sharing the love, we asked some of the city's best-known personalities to reveal something that makes them fall for Baltimore. Take this list as personal suggestions, from one neighbor …",pipeline_no,1,1,5,8506,0,
6,255,United States of America,"Fayette, Grimes, Harris, Parker counties, Houston districts (Texas province)",2016-04-16 → 2016-04-19,eng,http://www.dallasnews.com/business/airline-industry/20140121-delta-s-4q-profit-doubles-on-increased-travel-higher-fares.ece,"Delta's 4Q profit doubles on increased travel, higher fares | Dallas Morning News","Delta Air Lines Inc.’s fourth- quarter profit more than doubled, beating analysts’ estimates, to $558 million, helped by increased holiday travel, higher fares and lower fuel costs. Earnings excluding some items of 65 cents a share rose from $238 million, or 28 cents, a year earlier, the Atlanta-based airline said in a statement today. The results beat an average of 63 cents on that basis from 16 analyst estimates compiled by Bloomberg. Delta, the third-biggest U.S. carrier, is reaping benefits from its 2008 merger with Northwest Airlines Corp. as American Airlines digests its recent tie-up wi…",pipeline_no,1,0,4,362,0,
7,229,United States of America,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",2015-12-15 → 2016-01-06,eng,http://www.npr.org/2009/02/03/99915988/examining-the-fiery-legacy-of-andrew-jackson?ft=1&f=10448909,Examining The Fiery Legacy Of Andrew Jackson : NPR,"Examining The Fiery Legacy Of Andrew Jackson Discussion Highlights More From Jon Meacham Book Tour is a Web feature and podcast. Each week, we present leading authors of fiction and nonfiction as they read from and discuss their work. A certain war-grizzled maverick has inspired a flurry of popular interest over the past few years, and it's easy to understand why. Something about Andrew Jackson seems to speak to this era's political sensibilities. The country's first true up-by-the-bootstraps president reshaped the executive branch and changed the process of electioneering. He was pragmatic, c…",pipeline_yes,2,7,5,5203,0,
8,253,Costa Rica,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",2015-06-27 → 2015-07-09,spa,http://www.gaceta.go.cr/pub/2010/03/12/COMP_12_03_2010.html,LA GACETA Nº 50 DEL 12 DE MARZO DEL 2010,"EL PRESIDENTE DE Y EL MINISTRO DE AMBIENTE, ENERGÍA Y TELECOMUNICACIONES De conformidad con las atribuciones que les conceden los artículos 140, incisos 3) y 18), y 146 de Considerando: I.—Que corresponde al Poder Ejecutivo reglamentar las leyes de II.—Que el desarrollo y crecimiento de las empresas del Sector Energía, tienen como uno de sus efectos positivos la creación de fuentes de trabajo, así mismo, y para poder cumplir las necesidades financieras asociadas a la actividad de energía, es necesario velar por otorgarle al Sector Energía condiciones de financiamiento adecuadas. III.—Que la in…",pipeline_yes,2,4,7,50496,0,
9,252,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",2016-04-12 → 2016-05-11,spa,http://www2.elpais.com.uy/05/03/04/pciuda_141271.asp,Diario EL PAIS  - Montevideo - Uruguay,"""El último en asaltarme fuiste vos. Dejame, por lo menos, recaudar algo más de guita"", le espetó la encargada del carro de venta de chorizos ubicado en Bulevar Artigas y Enrique Martínez, a uno de los menores que la encañonaba con un arma de fuego a las nueve de la mañana del domingo 27. Ese era el tercer asalto que sufría el carro de chorizos en menos de doce horas. El primer atraco ocurrió a las 22 horas del sábado 26 y el segundo a las 7 de la mañana de ese domingo. Días atrás, un comerciante circulaba por la Avenida Luis Alberto de Herrera. Al llegar a la altura de la casa de Herrera obser…",pipeline_yes,2,2,3,860,0,
10,253,Costa Rica,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",2015-06-27 → 2015-07-09,spa,http://www.gaceta.go.cr/pub/2009/05/19/COMP_19_05_2009.html,LA GACETA Nº 95 del 19 de mayo del 2009,"LA GACETA Nº 95 DEL 19 DE MAYO DEL 2009 EL PRESIDENTE DE LA REPÚBLICA, EL MINISTRO DE LA PRESIDENCIA, Y EL MINISTRO DE AMBIENTE, ENERGÍA Y TELECOMUNICACIONES En ejercicio de las facultades que les confiere los artículos 140, incisos 3) y 18), y 146 de la Constitución Política, y de conformidad con lo dispuesto por la Ley Nº 8641 “Declaratoria del Servicio de Hidrantes como Servicio Público y Reforma de Leyes Conexas”, de 11 de junio del 2008. Considerando: 1º—Que el Estado debe adaptar su normativa vigente a los cambios sociales y a favor de los derechos y obligaciones de los administrados. 2º…",pipeline_yes,7,6,6,40872,0,
