id,flood_id,country,language_detected,url,page_title,text_snippet,pipeline_prediction,flood_term_hits,label,notes
1,13,,spa,https://www.eje21.com.co/2009/12/comisin-nacional-de-televisin-rechaza-afirmaciones-de-pacsa/,Comisión Nacional de Televisión rechaza afirmaciones de Pacsa - Eje21,"Comisión Nacional de Televisión rechaza afirmaciones de Pacsa
Un comunicado en este sentido es el siguiente:
La Comisión Nacional de Televisión informa, respecto del comunicado de la sociedad Pacsa S.A., de diciembre 16 de 2009, lo siguiente:
1. El proceso de Licitación 001 de 2009 se ha desarrollado en forma clara, transparente, y con total respeto a las disposiciones aplicables en materia de tel",pipeline_no,1,0,
2,228,,eng,https://www.theyucatantimes.com/2018/02/campeche-will-host-the-air-show-2018-on-feb-24/,Campeche will host the Air Show 2018 on Feb. 24 – The Yucatan Times,"Campeche will host for the first time the Air Show 2018 that will take place at the pier and the dock, on February 24 at 4 pm and will bring together five of the best acrobatic pilots in the world.
The activities will start on Friday February 23 with the aerobatic practices that will be carried out at the Campeche’s “malecón” in the stretch between the Government Palace and the San Francisco dock,",pipeline_no,1,0,
3,79,,por,http://www2.cemaden.gov.br/ferramenta-do-cemaden-ira-monitorar-em-tempo-real-a-seca-e-seus-impactos-na-agricultura-familiar-do-semiarido/,Ferramenta do Cemaden irá monitorar em tempo real a seca e seus impactos na agricultura familiar do semiárido – Cemaden,"A utilização de monitoramento ambiental com informações que indicam o índice da umidade do solo (SMI) – destacando o risco agrícola espacial, temporal e de curto prazo – permite a análise e identificação do estresse hídrico da agricultura familiar na região semiárida brasileira. Esse monitoramento diário será realizado pelos pesquisadores do Centro Nacional de Monitoramento e Alertas de Desastres ",pipeline_yes,1,0,
4,11,,por,https://piaui.folha.uol.com.br/?utm_medium=website&utm_source=archdaily.com.br,revista piauí - pra quem tem um parafuso a mais,"depoimento
Para driblar a fome na pandemia, faxineira baiana passa a noite diante de central de regulação e agenda procedimentos
Maria das Graças da Silva
questões de segurança pública
Presença da Polícia Civil fluminense em operações com morte é mais que o dobro do que em outros estados
Renato Sérgio de Lima e Samira Bueno
questões de segurança pública
Para especialistas, chacina no Jacarezinho m",pipeline_yes,1,0,
5,81,,spa,https://www.larepublica.co/analisis/jose-david-name-cardozo-507206/eslabon-fundamental-4141223,Eslabón fundamental,"MI SELECCIÓN DE NOTICIAS
Noticias personalizadas, de acuerdo a sus temas de interés
El creciente aumento de la demanda de energía en el país, está desbordando el Sistema de Transmisión Nacional, STN, principalmente por los retrasos en la puesta en marcha de proyectos clave de infraestructura de distribución y transmisión. De continuar así, se estaría comprometiendo seriamente la dinámica del secto",pipeline_yes,1,0,
6,79,,por,http://www2.cemaden.gov.br/01062019-previsao-de-risco-geo-hidrologico/,01/06/2019 – Previsão de Risco Geo-Hidrológico – Cemaden,"Neste sábado (01/06), o cenário de risco de eventos geo-hidrológicos para as mesorregiões do Brasil é apresentado a seguir:
- Região Norte: Amazonas e Pará.
Nas bacias hidrográficas dos rios Juruá, Purus, Madeira, Solimões, Negro e Amazonas, há municípios em que o nível do rio já atingiu a cota de transbordamento. No entanto, é BAIXA a possibilidade de ocorrência de novos processos hidrológicos.
-",pipeline_no,6,0,
7,228,,eng,https://www.theyucatantimes.com/2018/07/sargassum-will-continue-invading-the-beaches-of-quintana-roo/,Sargassum will continue invading the beaches of Quintana Roo – The Yucatan Times,"Alfredo Arellano Guillermo, head of the Secretariat of Ecology and Environment (SEMA), reported that the clean-up works carried out since June 19 on more than 40 beaches in Quintana Roo has already added more than 40,000 linear meters and it was possible to remove more than 106,000 cubic meters of sargassum from the coast.
The official explained that the algae is expected to continue arriving duri",pipeline_no,1,0,
8,252,,spa,http://www.elpais.com.uy/informacion/cadena-logistica-espera-que-mujica.html,Mujica autorizó aumentar a la mitad de lo solicitado: 100.000 toneladas | Noticias Uruguay y el Mundo actualizadas - Diario EL PAIS Uruguay,"producción de upm
Mujica autorizó a aumentar la mitad de lo solicitado: 100.000 toneladas
El presidente de la República informó que la medida tiene carácter provisorio y puso la condición de hacer una torre de enfriamiento para efluentes a menos de 30 grados. Mujica dijo que le dolía mucho esta decisión que generará problemas ""pero eso no cambiará mi cariño hacia el pueblo argentino"".
El president",pipeline_yes,1,0,
9,11,,por,https://piaui.folha.uol.com.br/europa-reage-mas-brasil-nada-faz-contra-falhas-em-implantes/,"Europa reage, mas Brasil nada faz contra falhas em implantes","Implant Files
Europa reage, mas Brasil nada faz contra falhas em implantes
Países anunciam medidas para evitar próteses defeituosas após investigação do ICIJ; Anvisa se abstém, e futuro ministro da Saúde diz que órgão é menos “consolidado”
Allan de AbreuEsta reportagem foi atualizada às 18h11 de 30 de novembro, para incluir um posicionamento da empresa Silimed.
Enquanto nos Estados Unidos e na Eur",pipeline_yes,1,0,
10,11,,por,https://www.poder360.com.br/analise/derrota-de-rodrigo-maia-no-stf-e-grande-vitoria-de-bolsonaro/,Derrota de Rodrigo Maia no STF é grande vitória de Bolsonaro | Poder360,"As maiores dificuldades enfrentadas por Jair Bolsonaro até hoje no Congresso tiveram duas origens principais: 1) a insistência do presidente em desprezar a política como um todo e 2) a atitude independente de Rodrigo Maia, que segurou inúmeras pautas vindas do Executivo.
Bolsonaro já entendeu que precisa criar vasos comunicantes com o que chama de “velha política”. Aproximou-se do Centrão.
Faltava",pipeline_yes,1,0,
