Flood_ID,ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration,Language_ISO_639_3,Local_Languages
1,LCA,Saint Lucia,Latin America and the Caribbean,Americas,"Corinth, Bois drorange, and Grande Riviere (Gros Islet District)",,2022-11-06,2022-11-06,0,eng,English
2,BRA,Brazil,Latin America and the Caribbean,Americas,Bahia state,,2022-11-29,2022-12-04,5,por,Portuguese
3,COL,Colombia,Latin America and the Caribbean,Americas,Bogotá area; North Santander department; La Calera municipality (Cundinamarca Department),,2022-11-14,2022-11-15,1,spa,Spanish
4,PAN,Panama,Latin America and the Caribbean,Americas,"El Cacao, Tonosí Centro, El Manantial, Pueblo Nuevo, La Nestlé, La Rabelo, El Bado, Bongo, and Villa Bonita (Los Santos province); Corinth, Bois drorange, and Grande Riviere in Gros Islet Districts (Herrera province)","La Villa, Tonosí, and El Cacao rivers",2022-11-18,2022-11-21,3,spa,Spanish
5,TTO,Trinidad and Tobago,Latin America and the Caribbean,Americas,"Bamboo #2, Valsayn South, Real Spring Gardens, Kelly Village, Madras Road and El Carmen, St. Helena","Caroni, North Oropouche, South Oropouche, Caparo, Ortoire Rivers",2022-11-26,2022-12-05,9,eng,English
6,USA,United States of America,Northern America,Americas,Kerr county (Texas),Guadalupe,2025-07-04,2025-07-07,3,eng,English
7,USA,United States of America,Northern America,Americas,Ruidoso (New Mexico),Rio Ruidoso river,2025-07-08,2025-07-08,0,eng,English
8,USA,United States of America,Northern America,Americas,San Antonio (Texas),,2025-06-08,2025-06-14,6,eng,English
9,USA,United States of America,Northern America,Americas,"Santa Barbara, Ventura, Los Angeles, and San Bernardino counties (California)",,2025-12-23,2025-12-25,2,eng,English
10,ARG,Argentina,Latin America and the Caribbean,Americas,Bahia Blanca city area (Buenos Aires province),,2025-03-06,2025-03-10,4,spa,Spanish
11,BRA,Brazil,Latin America and the Caribbean,Americas,Oriximiná Municipality (northern Parà),Trombetas River,2021-04-19,2021-06-05,47,por,Portuguese
12,COL,Colombia,Latin America and the Caribbean,Americas,"Guaranda, Majagual, Sucre-Sucre, Caimito, San Marcos, San Benito, La Union (La Mojana sub-region)",,2022-08-27,2022-10-18,52,spa,Spanish
13,COL,Colombia,Latin America and the Caribbean,Americas,"San Pablo, Los Andes, Santa Cruz, Túquerres. (Nariño Department)",,2022-02-18,2022-02-22,4,spa,Spanish
14,COL,Colombia,Latin America and the Caribbean,Americas,"Viotá, Cachipay, Arbeláez Municipalities (Cundimarca)",,2022-04-21,2022-04-22,1,spa,Spanish
15,CUB,Cuba,Latin America and the Caribbean,Americas,"Matanzas, San Juan y Martinez, Pinar del Río",,2022-06-02,2022-06-06,4,spa,Spanish
16,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Alajuela; Cartago; Cuajiniquil, Santa Cruz Veintisiete de Abril, Santa Cruz, Tempate, Santa Cruz, Tamarindo, Nosara, Nicoya (Guanacaste); Sierpe de Osa, Puerto Jiménez, Bahía Drake, Corredor, Corredores, Guaycará, Golfito, Jacó, Garabito (Puntarenas)",,2025-10-25,2025-10-31,6,spa,Spanish
17,BRA,Brazil,Latin America and the Caribbean,Americas,"Marilia, Botucatu, Laranjal Paulista,Taboao da Serra (Sao Paulo State)",,2020-02-09,2020-02-11,2,por,Portuguese
18,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,Sucre City (Chuquisaca Department),,2021-01-04,2021-01-04,0,spa,Spanish
19,BRA,Brazil,Latin America and the Caribbean,Americas,Lagoa Vermelha Municipality (Rio Grande Do Sul State),,2021-03-02,2021-03-03,1,por,Portuguese
20,GUF,French Guiana,Latin America and the Caribbean,Americas,"Saint-Laurent du Maroni Commune, Camopi-Trois Sauts Commune, Kourou District",Oyapock river,2020-05-05,2020-05-05,0,fra,French
21,BRA,Brazil,Latin America and the Caribbean,Americas,Santa Catarina (southern Brazil) and Pará (northern Brazil),,2021-03-26,2021-03-26,0,por,Portuguese
22,USA,United States of America,Northern America,Americas,Whatcom County (northern Washington State),,2021-11-13,2021-11-15,2,eng,English
23,PER,Peru,Latin America and the Caribbean,Americas,Machu Picchu Pueblo District (Cusco Department),,2022-01-21,2022-01-23,2,spa,Spanish
24,GTM,Guatemala,Latin America and the Caribbean,Americas,"Zacapa, San Marcos Departments",,2020-05-09,2020-05-11,2,spa,Spanish
25,CAN,Canada,Northern America,Americas,Alberta,"Athabasca, Clearwater Rivers",2020-04-26,2020-04-30,4,"eng, fra","English, French"
26,COL,Colombia,Latin America and the Caribbean,Americas,Piedecuesta Municipality (Santander Department); Chinchina (Caldas Department),,2020-02-26,2020-02-27,1,spa,Spanish
27,MEX,Mexico,Latin America and the Caribbean,Americas,Filomeno Meta municipality (Veracruz State),,2020-08-08,2020-08-10,2,spa,Spanish
28,BRA,Brazil,Latin America and the Caribbean,Americas,Santa Maria de Itabira Municipality (central Minas Gerais state); Cruzeiro do Sul Municipality (Acre state),,2021-02-10,2021-02-22,12,por,Portuguese
29,COL,Colombia,Latin America and the Caribbean,Americas,"Florencia City (Caquetá Department); Quípama Town (Boyacá Department), Bogotá",,2021-04-01,2021-04-05,4,spa,Spanish
30,COL,Colombia,Latin America and the Caribbean,Americas,El Tablon de Medina (Cundinamarca department); Villavicencio City (Meta Department),,2021-04-14,2021-04-14,0,spa,Spanish
